Date,CPI,SPY,DGS6MO,UNRATE,G17
15-Jul,238.034,0.027563426,0.116363636,5.2,102.8425
15-Aug,238.033,-0.060950076,0.22,5.1,102.6499
15-Sep,237.498,-0.030555981,0.17952381,5,102.9647
15-Oct,237.733,0.090700577,0.113809524,5,102.9704
15-Nov,238.017,0.003655256,0.327894737,5.1,103.6017
15-Dec,237.761,-0.02309656,0.499090909,5,103.592
16-Jan,237.652,-0.044131315,0.434736842,4.8,102.798
16-Feb,237.336,-0.000826095,0.445,4.9,102.1554
16-Mar,238.08,0.061789697,0.47,5,101.8077
16-Apr,238.992,0.009119063,0.372380952,5.1,101.2285
16-May,239.557,0.017011712,0.418571429,4.8,100.7536
16-Jun,240.222,-0.001715595,0.404090909,4.9,100.4529
16-Jul,240.101,0.04186123,0.404,4.8,101.11
16-Aug,240.545,0.001197613,0.446086957,4.9,100.8802
16-Sep,241.176,-0.004968323,0.467142857,5,100.608
16-Oct,241.741,-0.012373244,0.477,4.9,100.151
16-Nov,242.026,0.036838606,0.5835,4.7,99.3817
16-Dec,242.637,0.014293268,0.638095238,4.7,98.8572
17-Jan,243.618,0.023894478,0.617,4.7,99.4086
17-Feb,244.006,0.039291429,0.653157895,4.6,98.8946
17-Mar,243.892,-0.003087075,0.885652174,4.4,98.1385
17-Apr,244.193,0.014319738,0.948947368,4.4,98.4364
17-May,244.004,0.014112689,1.035,4.4,98.2096
17-Jun,244.163,0.001491205,1.109545455,4.3,98.6766
17-Jul,244.243,0.025531052,1.1285,4.3,98.8371
17-Aug,245.183,0.002917709,1.129130435,4.4,98.7302
17-Sep,246.435,0.015111884,1.171,4.3,98.6287
17-Oct,246.626,0.028643569,1.24952381,4.2,98.7126
17-Nov,247.284,0.030565805,1.38952381,4.2,98.3004
17-Dec,247.805,0.006980818,1.495,4.1,98.9063
18-Jan,248.743,0.061758581,1.62,4,98.7349
18-Feb,249.439,-0.036360156,1.785789474,4.1,98.4178
18-Mar,249.581,-0.03129041,1.917142857,4,99.0726
18-Apr,250.146,0.009193859,1.978095238,4,100.0545
18-May,250.779,0.024309253,2.073181818,3.8,100.139
18-Jun,251.118,0.001254768,2.113809524,4,100.3148
18-Jul,251.323,0.041703323,2.168095238,3.8,100.1418
18-Aug,251.749,0.031919834,2.244347826,3.8,99.6878
18-Sep,252.239,0.001412398,2.341578947,3.7,99.7829
18-Oct,252.862,-0.064890193,2.455909091,3.8,101.0401
18-Nov,252.657,0.018548955,2.517,3.8,101.226
18-Dec,252.551,-0.09334276,2.542105263,3.9,101.3878
19-Jan,252.47,0.086372708,2.506666667,4,101.345
19-Feb,253.135,0.032415876,2.502631579,3.8,101.7068
19-Mar,254.273,0.013635707,2.505714286,3.8,102.2785
19-Apr,255.163,0.045436877,2.462857143,3.6,103.434
19-May,255.325,-0.063771085,2.423636364,3.7,102.4735
19-Jun,255.361,0.064409358,2.1665,3.6,103.2508
19-Jul,255.9,0.020056813,2.082727273,3.7,103.4588
19-Aug,256.179,-0.016743068,1.928181818,3.7,104.1802
19-Sep,256.596,0.014771211,1.8935,3.5,104.1665
19-Oct,257.305,0.026824897,1.665,3.6,104.0476
19-Nov,257.788,0.036198285,1.588947368,3.6,103.9603
19-Dec,258.263,0.024020947,1.581904762,3.6,103.869
20-Jan,258.682,0.004510403,1.563333333,3.5,103.2684
20-Feb,259.007,-0.079165602,1.509473684,3.5,102.8157
20-Mar,258.165,-0.129987177,0.297272727,4.4,102.9
20-Apr,256.094,0.133610531,0.169047619,14.7,102.3826
20-May,255.944,0.04764524,0.1535,13.2,102.5756
20-Jun,257.217,0.013275495,0.18,11,102.5928
20-Jul,258.543,0.06355169,0.141363636,10.2,102.2012
20-Aug,259.58,0.069796959,0.11952381,8.4,102.9086
20-Sep,260.19,-0.041281436,0.118571429,7.9,102.579
